epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.7783,4.84993,10.1471,2.38777,0.08692,0.10542,0.02778,0.00662,3.35288,5.72571,1.42815,0.00042,0.00042,0.00042
2,123.054,3.38506,3.49531,1.32704,0.34875,0.37651,0.2931,0.08447,2.89202,2.58707,1.24906,0.000602,0.000602,0.000602
3,184.097,3.07507,2.71184,1.23933,0.39836,0.45482,0.34581,0.11832,2.60611,2.62701,1.19146,0.00052,0.00052,0.00052
