epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.901,4.40344,4.62323,2.03978,0.11032,0.15964,0.0555,0.01178,3.24395,11.7781,1.3521,0.00042,0.00042,0.00042
2,262.578,3.06458,2.64151,1.23543,0.39917,0.48227,0.34721,0.09912,2.71857,2.17313,1.21529,0.000602,0.000602,0.000602
3,395.576,2.87715,2.06838,1.20192,0.48023,0.64759,0.45665,0.14142,2.50888,1.84623,1.14441,0.00052,0.00052,0.00052
