epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5765,4.80275,7.47152,2.22094,0.00017,0.00904,8e-05,2e-05,3.94202,5.01208,1.46412,0.002,0.002,0.002
2,57.9496,3.86874,5.01422,1.27626,0.00422,0.22892,0.00729,0.00149,4.01291,4.14798,1.52542,0.00134,0.00134,0.00134
3,87.1447,3.4909,4.44993,1.2171,0.01361,0.73795,0.12725,0.02774,3.26041,3.33011,1.33256,0.00068,0.00068,0.00068
