epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5765,4.89891,6.46708,2.3596,0.00061,0.03313,0.00032,0.0001,4.23446,5.41357,1.71315,0.00042,0.00042,0.00042
2,98.7579,3.48926,4.17153,1.31787,0.00383,0.20783,0.00264,0.00064,3.23715,4.33252,1.36351,0.000602,0.000602,0.000602
3,147.762,3.26858,3.62831,1.27465,0.01161,0.62952,0.01511,0.00469,2.88495,3.72251,1.21234,0.00052,0.00052,0.00052
